,Country,Sector,Gas,2017,2016,2015
151,Indonesia,Land-Use Change and Forestry,All GHG,1363.07,1363.07,1925.39
152,Indonesia,Manufacturing/Construction,All GHG,99.55,84.22,99.98
153,Indonesia,Other Fuel Combustion,All GHG,32.65,31.29,35.5
154,Indonesia,Transportation,All GHG,141.68,133.64,122.57
155,Indonesia,Waste,All GHG,131.65,129.47,127.28
156,Iran,Agriculture,All GHG,32.4,33.17,32.11
157,Iran,Building,All GHG,124.61,132.79,123.99
158,Iran,Bunker Fuels,All GHG,14.22,13.43,13.53
159,Iran,Electricity/Heat,All GHG,201.58,190.74,192.38
160,Iran,Energy,All GHG,704.87,686.47,678.68
161,Iran,Fugitive Emissions,All GHG,127.68,122.44,115.94
162,Iran,Industrial Processes,All GHG,31.43,30.72,30.91
163,Iran,Land-Use Change and Forestry,All GHG,67.08,67.08,67.08
164,Iran,Manufacturing/Construction,All GHG,96.77,91.87,88.44
165,Iran,Other Fuel Combustion,All GHG,19.4,18.39,18.81
166,Iran,Transportation,All GHG,134.83,130.24,139.11
167,Iran,Waste,All GHG,46.04,45.42,44.81
168,Japan,Agriculture,All GHG,21.45,21.51,21.62
169,Japan,Building,All GHG,115.44,111.56,114.01
170,Japan,Bunker Fuels,All GHG,30.71,30.43,28.68
171,Japan,Electricity/Heat,All GHG,589.35,608.59,610.36
172,Japan,Energy,All GHG,1135.35,1155.42,1165.84
173,Japan,Fugitive Emissions,All GHG,2.3,2.3,2.29
174,Japan,Industrial Processes,All GHG,71.59,73.75,70.38
175,Japan,Land-Use Change and Forestry,All GHG,4.46,4.46,4.55
176,Japan,Manufacturing/Construction,All GHG,196.8,197.98,202.35
177,Japan,Other Fuel Combustion,All GHG,24.4,26.1,25.51
178,Japan,Transportation,All GHG,207.07,208.9,211.32
179,Japan,Waste,All GHG,6.92,7.04,7.22
180,Kazakhstan,Agriculture,All GHG,26.61,22.96,24.52
181,Kazakhstan,Building,All GHG,34.96,31.22,29.75
182,Kazakhstan,Bunker Fuels,All GHG,3.71,2.85,2.79
183,Kazakhstan,Electricity/Heat,All GHG,123.88,125.0,110.9
184,Kazakhstan,Energy,All GHG,243.38,241.2,224.58
185,Kazakhstan,Fugitive Emissions,All GHG,22.13,22.48,23.08
186,Kazakhstan,Industrial Processes,All GHG,5.04,4.8,4.79
187,Kazakhstan,Land-Use Change and Forestry,All GHG,0.1,0.1,0.49
188,Kazakhstan,Manufacturing/Construction,All GHG,42.35,42.16,41.31
189,Kazakhstan,Other Fuel Combustion,All GHG,4.74,4.43,4.25
190,Kazakhstan,Transportation,All GHG,15.33,15.91,15.3
191,Kazakhstan,Waste,All GHG,5.52,5.45,5.32
192,Kiribati,Agriculture,All GHG,0.01,0.01,0.01
193,Kiribati,Building,All GHG,0.01,0.01,0.01
194,Kiribati,Bunker Fuels,All GHG,0.01,0.01,0.01
195,Kiribati,Electricity/Heat,All GHG,0.03,0.03,0.02
196,Kiribati,Energy,All GHG,0.08,0.08,0.06
197,Kiribati,Fugitive Emissions,All GHG,,,
198,Kiribati,Industrial Processes,All GHG,0.0,0.0,0.0
199,Kiribati,Land-Use Change and Forestry,All GHG,-0.01,-0.01,-0.01
200,Kiribati,Manufacturing/Construction,All GHG,0.0,0.0,0.0
201,Kiribati,Other Fuel Combustion,All GHG,0.01,0.01,0.01
202,Kiribati,Transportation,All GHG,0.03,0.03,0.02
203,Kiribati,Waste,All GHG,0.02,0.02,0.02
204,Kyrgyzstan,Agriculture,All GHG,5.29,5.24,5.11
205,Kyrgyzstan,Building,All GHG,4.58,2.76,1.8
206,Kyrgyzstan,Bunker Fuels,All GHG,0.07,0.63,0.63
207,Kyrgyzstan,Electricity/Heat,All GHG,1.5,1.83,2.75
208,Kyrgyzstan,Energy,All GHG,9.61,9.96,10.46
209,Kyrgyzstan,Fugitive Emissions,All GHG,0.23,0.23,0.23
210,Kyrgyzstan,Industrial Processes,All GHG,0.66,0.67,0.76
211,Kyrgyzstan,Land-Use Change and Forestry,All GHG,-0.84,-0.84,-0.84
212,Kyrgyzstan,Manufacturing/Construction,All GHG,0.86,0.9,1.82
213,Kyrgyzstan,Other Fuel Combustion,All GHG,0.58,0.93,1.17
214,Kyrgyzstan,Transportation,All GHG,1.86,3.32,2.68
215,Kyrgyzstan,Waste,All GHG,0.77,0.77,0.76
216,Laos,Agriculture,All GHG,9.78,9.67,9.35
217,Laos,Building,All GHG,0.04,0.02,0.01
218,Laos,Bunker Fuels,All GHG,0.11,0.12,0.12
219,Laos,Electricity/Heat,All GHG,13.92,10.87,3.71
220,Laos,Energy,All GHG,18.11,14.96,8.25
221,Laos,Fugitive Emissions,All GHG,0.01,0.01,0.01
222,Laos,Industrial Processes,All GHG,1.07,1.05,1.03
223,Laos,Land-Use Change and Forestry,All GHG,26.4,26.4,22.71
224,Laos,Manufacturing/Construction,All GHG,0.56,0.53,1.62
225,Laos,Other Fuel Combustion,All GHG,0.55,0.55,0.55
226,Laos,Transportation,All GHG,3.04,2.99,2.35
227,Laos,Waste,All GHG,0.21,0.21,0.2
228,Malaysia,Agriculture,All GHG,13.36,13.25,13.4
229,Malaysia,Building,All GHG,5.37,4.19,3.98
230,Malaysia,Bunker Fuels,All GHG,9.18,7.44,8.34
231,Malaysia,Electricity/Heat,All GHG,109.34,118.49,123.54
232,Malaysia,Energy,All GHG,235.44,241.31,245.35
233,Malaysia,Fugitive Emissions,All GHG,21.48,21.86,22.07
234,Malaysia,Industrial Processes,All GHG,19.29,18.69,18.1
235,Malaysia,Land-Use Change and Forestry,All GHG,-130.24,-130.24,-131.55
236,Malaysia,Manufacturing/Construction,All GHG,32.45,29.63,28.82
237,Malaysia,Other Fuel Combustion,All GHG,6.23,4.26,5.72
238,Malaysia,Transportation,All GHG,60.57,62.89,61.21
239,Malaysia,Waste,All GHG,20.28,19.94,19.6
240,Maldives,Agriculture,All GHG,0.0,0.0,0.0
241,Maldives,Building,All GHG,0.06,0.06,0.05
242,Maldives,Bunker Fuels,All GHG,0.08,0.06,0.1
243,Maldives,Electricity/Heat,All GHG,0.65,0.65,0.52
244,Maldives,Energy,All GHG,1.84,1.78,1.37
245,Maldives,Fugitive Emissions,All GHG,,,
246,Maldives,Industrial Processes,All GHG,0.26,0.21,0.17
247,Maldives,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
248,Maldives,Manufacturing/Construction,All GHG,0.04,0.05,0.03
249,Maldives,Other Fuel Combustion,All GHG,0.03,0.03,0.03
250,Maldives,Transportation,All GHG,1.07,1.0,0.75
251,Maldives,Waste,All GHG,0.13,0.13,0.12
252,Marshall Islands,Agriculture,All GHG,0.0,0.0,0.0
253,Marshall Islands,Building,All GHG,0.0,0.0,0.0
254,Marshall Islands,Bunker Fuels,All GHG,0.01,0.01,0.01
255,Marshall Islands,Electricity/Heat,All GHG,0.07,0.07,0.06
256,Marshall Islands,Energy,All GHG,0.18,0.18,0.15
257,Marshall Islands,Industrial Processes,All GHG,0.01,0.01,0.01
258,Marshall Islands,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
259,Marshall Islands,Manufacturing/Construction,All GHG,0.0,0.0,0.0
260,Marshall Islands,Other Fuel Combustion,All GHG,0.0,0.0,0.0
261,Marshall Islands,Transportation,All GHG,0.1,0.1,0.09
262,Marshall Islands,Waste,All GHG,0.03,0.03,0.03
263,Micronesia,Agriculture,All GHG,0.06,0.06,0.06
264,Micronesia,Building,All GHG,0.0,0.0,0.0
265,Micronesia,Bunker Fuels,All GHG,0.02,0.02,0.02
266,Micronesia,Electricity/Heat,All GHG,0.07,0.07,0.06
267,Micronesia,Energy,All GHG,0.18,0.18,0.15
268,Micronesia,Industrial Processes,All GHG,0.0,0.0,0.0
269,Micronesia,Land-Use Change and Forestry,All GHG,-0.03,-0.03,-0.03
270,Micronesia,Manufacturing/Construction,All GHG,0.0,0.0,0.0
271,Micronesia,Other Fuel Combustion,All GHG,0.01,0.01,0.01
272,Micronesia,Transportation,All GHG,0.1,0.1,0.08
273,Micronesia,Waste,All GHG,0.01,0.01,0.01
274,Mongolia,Agriculture,All GHG,29.33,27.5,25.93
275,Mongolia,Building,All GHG,1.5,1.63,1.12
276,Mongolia,Bunker Fuels,All GHG,0.3,0.21,0.25
277,Mongolia,Electricity/Heat,All GHG,12.77,11.72,11.71
278,Mongolia,Energy,All GHG,21.22,19.96,19.13
279,Mongolia,Fugitive Emissions,All GHG,1.36,1.4,1.44
280,Mongolia,Industrial Processes,All GHG,0.41,0.37,0.33
281,Mongolia,Land-Use Change and Forestry,All GHG,19.52,19.52,23.26
282,Mongolia,Manufacturing/Construction,All GHG,1.77,1.43,1.49
283,Mongolia,Other Fuel Combustion,All GHG,1.72,2.01,1.36
284,Mongolia,Transportation,All GHG,2.11,1.77,2.01
285,Mongolia,Waste,All GHG,0.24,0.24,0.24
286,Myanmar,Agriculture,All GHG,81.95,79.13,78.67
287,Myanmar,Building,All GHG,1.5,0.98,0.01
288,Myanmar,Bunker Fuels,All GHG,4.21,3.13,0.74
289,Myanmar,Electricity/Heat,All GHG,9.23,7.35,5.69
290,Myanmar,Energy,All GHG,34.0,24.49,22.26
291,Myanmar,Fugitive Emissions,All GHG,0.22,0.22,0.23
292,Myanmar,Industrial Processes,All GHG,1.0,1.0,0.35
293,Myanmar,Land-Use Change and Forestry,All GHG,110.37,110.37,117.66
294,Myanmar,Manufacturing/Construction,All GHG,8.23,3.91,5.37
295,Myanmar,Other Fuel Combustion,All GHG,8.87,7.59,6.63
296,Myanmar,Transportation,All GHG,5.94,4.44,4.33
297,Myanmar,Waste,All GHG,5.1,5.04,4.99
298,Nauru,Agriculture,All GHG,0.0,0.0,0.0
299,Nauru,Building,All GHG,0.0,0.0,0.0
300,Nauru,Bunker Fuels,All GHG,0.02,0.02,0.01
301,Nauru,Electricity/Heat,All GHG,0.03,0.03,0.02
302,Nauru,Energy,All GHG,0.07,0.06,0.05
303,Nauru,Fugitive Emissions,All GHG,,,
304,Nauru,Industrial Processes,All GHG,0.0,0.0,0.0
305,Nauru,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
306,Nauru,Manufacturing/Construction,All GHG,0.0,0.0,0.0
307,Nauru,Other Fuel Combustion,All GHG,0.02,0.02,0.02
308,Nauru,Transportation,All GHG,0.02,0.02,0.02
309,Nauru,Waste,All GHG,0.0,0.0,0.0
310,Nepal,Agriculture,All GHG,25.38,24.76,24.66
311,Nepal,Building,All GHG,1.32,1.15,0.71
312,Nepal,Bunker Fuels,All GHG,1.26,1.1,0.62
313,Nepal,Electricity/Heat,All GHG,0.0,0.0,0.0
314,Nepal,Energy,All GHG,22.33,20.35,17.25
315,Nepal,Fugitive Emissions,All GHG,0.01,0.01,0.01
316,Nepal,Industrial Processes,All GHG,0.91,0.9,0.81
317,Nepal,Land-Use Change and Forestry,All GHG,14.37,14.37,3.56
318,Nepal,Manufacturing/Construction,All GHG,3.19,2.78,2.23
319,Nepal,Other Fuel Combustion,All GHG,12.96,12.52,11.96
320,Nepal,Transportation,All GHG,4.85,3.9,2.34
321,Nepal,Waste,All GHG,0.97,0.95,0.94
322,New Zealand,Agriculture,All GHG,42.36,42.62,42.65
323,New Zealand,Building,All GHG,1.61,1.53,1.53
324,New Zealand,Bunker Fuels,All GHG,5.03,4.64,3.93
325,New Zealand,Electricity/Heat,All GHG,6.97,6.12,7.25
326,New Zealand,Energy,All GHG,33.65,31.85,32.78
327,New Zealand,Fugitive Emissions,All GHG,1.04,1.04,1.14
328,New Zealand,Industrial Processes,All GHG,2.13,2.12,2.42
329,New Zealand,Land-Use Change and Forestry,All GHG,-17.2,-17.2,-17.2
330,New Zealand,Manufacturing/Construction,All GHG,6.47,6.58,6.45
331,New Zealand,Other Fuel Combustion,All GHG,1.9,1.88,2.02
332,New Zealand,Transportation,All GHG,15.67,14.69,14.4
333,New Zealand,Waste,All GHG,3.86,3.84,3.86
334,North Korea,Agriculture,All GHG,4.96,4.92,4.89
335,North Korea,Building,All GHG,0.12,0.12,0.12
336,North Korea,Bunker Fuels,All GHG,0.0,0.0,0.0
337,North Korea,Electricity/Heat,All GHG,3.31,4.47,3.66
338,North Korea,Energy,All GHG,33.75,41.38,36.55
339,North Korea,Fugitive Emissions,All GHG,12.43,12.36,12.28
340,North Korea,Industrial Processes,All GHG,5.81,5.68,5.52
341,North Korea,Land-Use Change and Forestry,All GHG,14.03,14.03,14.34
342,North Korea,Manufacturing/Construction,All GHG,11.47,16.46,13.39
343,North Korea,Other Fuel Combustion,All GHG,5.03,6.53,5.69
344,North Korea,Transportation,All GHG,1.4,1.45,1.41
345,North Korea,Waste,All GHG,1.49,1.48,1.47
346,Pakistan,Agriculture,All GHG,182.06,175.63,170.83
347,Pakistan,Building,All GHG,20.26,20.31,19.27
348,Pakistan,Bunker Fuels,All GHG,2.53,2.41,2.24
349,Pakistan,Electricity/Heat,All GHG,55.9,49.37,45.14
350,Pakistan,Energy,All GHG,200.09,182.96,167.4
351,Pakistan,Fugitive Emissions,All GHG,13.66,13.71,13.73
352,Pakistan,Industrial Processes,All GHG,23.43,21.82,18.8
353,Pakistan,Land-Use Change and Forestry,All GHG,28.64,28.64,28.6
354,Pakistan,Manufacturing/Construction,All GHG,52.6,46.47,41.38
355,Pakistan,Other Fuel Combustion,All GHG,3.82,3.97,3.82
356,Pakistan,Transportation,All GHG,53.84,49.13,44.07
357,Pakistan,Waste,All GHG,9.07,8.91,8.75
358,Palau,Agriculture,All GHG,0.0,0.0,0.0
359,Palau,Building,All GHG,0.01,0.01,0.01
360,Palau,Bunker Fuels,All GHG,0.06,0.06,0.05
361,Palau,Electricity/Heat,All GHG,0.1,0.09,0.07
362,Palau,Energy,All GHG,0.27,0.26,0.22
363,Palau,Industrial Processes,All GHG,0.01,0.01,0.01
364,Palau,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
365,Palau,Manufacturing/Construction,All GHG,0.0,0.0,0.0
366,Palau,Other Fuel Combustion,All GHG,0.0,0.0,0.0
367,Palau,Transportation,All GHG,0.17,0.16,0.14
368,Palau,Waste,All GHG,0.02,0.02,0.02
369,Papua New Guinea,Agriculture,All GHG,4.56,4.45,4.53
370,Papua New Guinea,Building,All GHG,0.16,0.16,0.14
371,Papua New Guinea,Bunker Fuels,All GHG,0.6,0.61,0.51
372,Papua New Guinea,Electricity/Heat,All GHG,3.35,3.3,2.82
373,Papua New Guinea,Energy,All GHG,13.6,13.6,12.46
374,Papua New Guinea,Fugitive Emissions,All GHG,5.35,5.41,5.47
375,Papua New Guinea,Industrial Processes,All GHG,0.23,0.19,0.15
376,Papua New Guinea,Land-Use Change and Forestry,All GHG,42.63,42.63,113.99
377,Papua New Guinea,Manufacturing/Construction,All GHG,1.78,1.74,1.43
378,Papua New Guinea,Other Fuel Combustion,All GHG,0.93,0.93,0.87
379,Papua New Guinea,Transportation,All GHG,2.03,2.05,1.72
380,Papua New Guinea,Waste,All GHG,4.53,4.44,4.34
381,Philippines,Agriculture,All GHG,62.18,59.0,59.11
382,Philippines,Building,All GHG,9.3,7.91,6.48
383,Philippines,Bunker Fuels,All GHG,4.91,4.01,3.75
384,Philippines,Electricity/Heat,All GHG,64.12,56.04,51.88
385,Philippines,Energy,All GHG,132.75,120.98,109.99
386,Philippines,Fugitive Emissions,All GHG,0.55,0.63,0.62
387,Philippines,Industrial Processes,All GHG,17.42,16.16,14.52
388,Philippines,Land-Use Change and Forestry,All GHG,-59.69,-59.69,-59.86
389,Philippines,Manufacturing/Construction,All GHG,17.79,16.76,14.11
390,Philippines,Other Fuel Combustion,All GHG,6.61,6.31,6.08
391,Philippines,Transportation,All GHG,34.38,33.34,30.82
392,Philippines,Waste,All GHG,13.54,13.31,13.08
393,Russia,Agriculture,All GHG,97.69,96.6,93.54
394,Russia,Building,All GHG,178.41,156.31,148.76
395,Russia,Bunker Fuels,All GHG,28.73,26.99,28.6
396,Russia,Electricity/Heat,All GHG,835.58,840.13,879.86
397,Russia,Energy,All GHG,2227.22,2202.85,2211.45
398,Russia,Fugitive Emissions,All GHG,682.36,684.16,668.48
399,Russia,Industrial Processes,All GHG,54.91,55.27,56.25
400,Russia,Land-Use Change and Forestry,All GHG,-36.02,-36.02,-118.36
401,Russia,Manufacturing/Construction,All GHG,262.09,259.78,249.98
402,Russia,Other Fuel Combustion,All GHG,22.71,22.28,23.77
403,Russia,Transportation,All GHG,246.06,240.2,240.61
404,Russia,Waste,All GHG,116.48,115.75,113.19
405,Samoa,Agriculture,All GHG,0.2,0.2,0.21
406,Samoa,Building,All GHG,0.05,0.05,0.04
407,Samoa,Bunker Fuels,All GHG,0.05,0.05,0.04
408,Samoa,Electricity/Heat,All GHG,0.08,0.08,0.07
409,Samoa,Energy,All GHG,0.31,0.3,0.25
410,Samoa,Fugitive Emissions,All GHG,,,
411,Samoa,Industrial Processes,All GHG,0.01,0.01,0.01
412,Samoa,Land-Use Change and Forestry,All GHG,0.0,0.0,0.0
413,Samoa,Manufacturing/Construction,All GHG,0.0,0.0,0.0
414,Samoa,Other Fuel Combustion,All GHG,0.01,0.01,0.01
415,Samoa,Transportation,All GHG,0.17,0.17,0.14
416,Samoa,Waste,All GHG,0.15,0.15,0.15
417,Singapore,Agriculture,All GHG,0.16,0.12,0.13
418,Singapore,Building,All GHG,0.59,0.61,0.61
419,Singapore,Bunker Fuels,All GHG,24.84,23.39,22.09
420,Singapore,Electricity/Heat,All GHG,26.06,25.33,24.81
421,Singapore,Energy,All GHG,48.82,47.51,46.82
422,Singapore,Fugitive Emissions,All GHG,0.98,0.96,0.93
423,Singapore,Industrial Processes,All GHG,13.99,13.36,12.73
424,Singapore,Land-Use Change and Forestry,All GHG,0.04,0.04,0.04
425,Singapore,Manufacturing/Construction,All GHG,13.69,13.04,12.86
426,Singapore,Other Fuel Combustion,All GHG,0.41,0.4,0.39
427,Singapore,Transportation,All GHG,7.08,7.18,7.22
428,Singapore,Waste,All GHG,3.14,3.06,2.99
429,Solomon Islands,Agriculture,All GHG,0.07,0.07,0.07
430,Solomon Islands,Building,All GHG,0.0,0.0,0.0
